year	month	day	time
2004	3	20	06:49
2004	6	21	00:57
2004	9	22	16:30
2004	12	21	12:42
2005	3	20	12:33
2005	6	21	06:46
2005	9	22	22:23
2005	12	21	18:35
2006	3	20	18:26
2006	6	21	12:26
2006	9	23	04:03
2006	12	22	00:22
2007	3	21	00:07
2007	6	21	18:06
2007	9	23	09:51
2007	12	22	06:08
2008	3	20	05:48
2008	6	20	23:59
2008	9	22	15:44
2008	12	21	12:04
2009	3	20	11:44
2009	6	21	05:45
2009	9	22	21:18
2009	12	21	17:47
2010	3	20	17:32
2010	6	21	11:28
2010	9	23	03:09
2010	12	21	23:38
2011	3	20	23:21
2011	6	21	17:16
2011	9	23	09:04
2011	12	22	05:30
2012	3	20	05:14
2012	6	20	23:09
2012	9	22	14:49
2012	12	21	11:11
2013	3	20	11:02
2013	6	21	05:04
2013	9	22	20:44
2013	12	21	17:11
2014	3	20	16:57
2014	6	21	10:51
2014	9	23	02:29
2014	12	21	23:03
2015	3	20	22:45
2015	6	21	16:38
2015	9	23	08:20
2015	12	22	04:48
2016	3	20	04:30
2016	6	20	22:34
2016	9	22	14:21
2016	12	21	10:44
2017	3	20	10:28
2017	6	21	04:24
2017	9	22	20:02
2017	12	21	16:28
